Feature,Coefficient
race,-0.83260788933196
fnlwgt,0.2707779737514839
hoursPerWeek,-0.24889539980764222
sex,-0.04557841515470019
age,0.03507398112082394
capitalLoss,-0.030310181958252302
maritalStatus,0.026330871001056026
occupation,0.008395282520915624
educationNum,4.955129720600869E-4
education,1.5279729456338034E-4
workclass,0.0
relationship,0.0
capitalGain,0.0
nativeCountry,0.0
